material_id,category,name,catalogue_unit,proposed_price_ngn,low_ngn,high_ngn,price_basis,confidence,recommended_action,sources,notes
cmu6llexy00k2rqc7hkar1md5,"Adhesives, Sealants & Waterproofing",Bituminous Waterproofing Membrane,Roll (Roll (varies by product)),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6llk2l00k8rqc7202s4t01,"Adhesives, Sealants & Waterproofing",Epoxy Grout / Structural Adhesive,Kit (Per kit (varies)),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6llcis00jzrqc7n9cu0udc,"Adhesives, Sealants & Waterproofing",PVC Solvent Cement (Pipe Jointing),Tin (500ml / 1L tin),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lla3100jwrqc7x95zwt9q,"Adhesives, Sealants & Waterproofing",Silicone Sealant,Cartridge (300ml cartridge),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ll79700jtrqc7llvpemwc,"Adhesives, Sealants & Waterproofing",Tile Adhesive (Cement-Based),Bag (20–25kg bag),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6llheh00k5rqc7sv449hvn,"Adhesives, Sealants & Waterproofing",Wood Glue (PVA),Bottle (1L / 4L),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6leo6d00cerqc7icwblhr0,Aggregates & Sand,"Granite Chippings 3/4"" (19mm)",Trip (Tipper load) (~30 tonnes/trip),240000,210000,270000,"per ~30t trip, Lagos ex-quarry",Low,Verify with 2-3 supplier quotes before publishing,"Prioni granite Feb 2026, ex-quarry, transport excluded https://www.prioni.com.ng/current-price-of-granite-in-nigeria/","₦7,000-9,000/t Lagos, ₦8,000-10,000/t Abuja; transport to site extra. An undated Jiji ad shows ₦120,000 for 30t (conflicts)."
cmu6ler9n00chrqc7kd08y76m,Aggregates & Sand,"Granite Chippings 3/8"" (10mm)",Trip (Tipper load) (~30 tonnes/trip),225000,195000,255000,per ~30t trip,Low,Verify with 2-3 supplier quotes before publishing,"Prioni granite Feb 2026, ex-quarry, transport excluded https://www.prioni.com.ng/current-price-of-granite-in-nigeria/",Derived from the 1/2-inch rate; 3/8-inch not listed.
cmu6lezzj00cqrqc73db0ykbp,Aggregates & Sand,Hardcore / Rubble Fill,Trip (Tipper load) (~20–30 tonnes/trip),137500,112500,162500,per ~25t trip,Low,Verify with 2-3 supplier quotes before publishing,"Prioni granite Feb 2026, ex-quarry, transport excluded https://www.prioni.com.ng/current-price-of-granite-in-nigeria/","₦4,500-6,500/t."
cmu6lex7j00cnrqc7i2d92zna,Aggregates & Sand,Laterite,Trip (Tipper load) (~30 tonnes/trip),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
