material_id,supplier_group,category,item,catalogue_description,quote_this_exact_spec,quote_per,reference_estimate_ngn,reference_low_ngn,reference_high_ngn,reference_note,quote_1_ngn,quote_1_city,quote_1_supplier,quote_2_ngn,quote_2_city,quote_2_supplier,quote_3_ngn,quote_3_city,quote_3_supplier,quote_date,final_catalogue_price_ngn,notes
cmu6leo6d00cerqc7icwblhr0,"Aggregates (sand, granite, laterite)",Aggregates & Sand,"Granite Chippings 3/4"" (19mm)","Nominal size 19mm, crushed granite · BS 882","3/4-inch granite, ~30 tonnes tipper, state ex-quarry and delivered price for your site area",per ~30t trip,240000,210000,270000,"₦7,500-9,000/t Lagos, ₦8,000-10,000/t Abuja ex-quarry (Prioni Feb 2026).",,,,,,,,,,,,
cmu6ler9n00chrqc7kd08y76m,"Aggregates (sand, granite, laterite)",Aggregates & Sand,"Granite Chippings 3/8"" (10mm)","Nominal size 10mm, crushed granite · BS 882","3/8-inch granite, ~30 tonnes tipper",per ~30t trip,225000,195000,255000,Derived from 1/2-inch rate.,,,,,,,,,,,,
cmu6lezzj00cqrqc73db0ykbp,"Aggregates (sand, granite, laterite)",Aggregates & Sand,Hardcore / Rubble Fill,Graded broken stone/rubble,"Hardcore/stone base, ~25 tonnes tipper",per ~25t trip,137500,112500,162500,"₦4,500-6,500/t (Prioni Feb 2026).",,,,,,,,,,,,
cmu6lex7j00cnrqc7i2d92zna,"Aggregates (sand, granite, laterite)",Aggregates & Sand,Laterite,Compactable lateritic fill material,"Red laterite (filling), ~30 tonnes tipper",per ~30t trip,,,,No usable public quote.,,,,,,,,,,,,
cmu6lelid00cbrqc7xcl2lg4b,"Aggregates (sand, granite, laterite)",Aggregates & Sand,Plaster Sand (Fine Sand),"Fine aggregate, low clay content · BS 882","Plaster/soft sand, ~30 tonnes tipper",per ~30t trip,,,,No usable public quote.,,,,,,,,,,,,
cmu6leu0g00ckrqc7uboxfk0s,"Aggregates (sand, granite, laterite)",Aggregates & Sand,Quarry Dust (Crushed Stone Dust),Fine crushed stone residue,"Stone dust, ~30 tonnes tipper",per ~30t trip,,,,Only a 2022-23 figure exists; do not use.,,,,,,,,,,,,
cmu6leiyh00c8rqc7yzv8y23m,"Aggregates (sand, granite, laterite)",Aggregates & Sand,Sharp Sand (River Sand),"Well-graded, low silt content preferred · BS 882","Sharp/coarse sand, ~30 tonnes tipper",per ~30t trip,160000,105000,225000,"20t = ₦70,000-150,000 (Prioni, early 2026); haul distance dominates.",,,,,,,,,,,,
cmu6lfjri00dbrqc7yehq1ft0,"Blocks, bricks & paving","Blocks, Bricks & Masonry",Aerated Autoclaved Concrete (AAC) Block,"Low density, precision-cut dimensions",AAC block 600x200x100mm,per block,,,,No public quote.,,,,,,,,,,,,
cmu6lfe2700d5rqc7hrmb4rdf,"Blocks, bricks & paving","Blocks, Bricks & Masonry",Clay Bricks (Burnt Bricks),Standard brick dimensions vary by kiln,Standard burnt clay brick 230x110x75mm,per brick,,,,No public quote.,,,,,,,,,,,,
cmu6lfgu500d8rqc7y98qmfd3,"Blocks, bricks & paving","Blocks, Bricks & Masonry",Precast Concrete Paving / Kerb Blocks,"Various interlocking profiles, 60–80mm thickness · BS EN 1338","60mm interlocking concrete paver, grey (also ask kerb 150x300x450mm)",per m² (paver),,,,No public quote.,,,,,,,,,,,,
